season,episode,note
12,256,"*The feds monitor all my calls, read my email..."
12,257,first Blackberry,first computer running Excel
12,259,first computer running Word,first computer running Windows 95
12,261,"*Got it off eBay.",first mention of online auctions,"*Simply posts information on the website. - And lets the internet do the rest.",FotoMatch,"*I met Emily online."
12,267,"*Let's check out her computer, maybe they had some kind of email thing going."
12,268,"*Hey, I haven't downloaded the files yet!",'A Cyberhead's Guide To Eavesdropping',"*Reason number 37 for me not to open my email.",first mention of spyware
12,269,"*I was here, on the computer."
12,270,"*Where'd you get these? - We printed them off her laptop.",first mention of webmaster,first mention of computer science,"*How do you defend that awful website or whatever it's called?"
12,277,"*That's an internet bank, you do all you banking, payments, deposits... everything online."
13,278,Peak DV 3.0
13,281,zoom-and-enhance
13,282,"*Computers, don't you love them?"
13,284,"*I know somebody, he's a computer genius."
13,288,"*I can call an 800 number, I log into the internet.",first mention of online gambling
13,289,"*The computer said the case is closed!","*If God had wanted man to have fair trials, he would have given the jury Pentium processors instead of prejudices."
13,290,no computers!
13,299,"*The notes were printed on an HP DeskJet."
13,301,"*You get wireless internet on that, Sammy?",Yahoo!,Google,first use of 'Googled' as a verb,upyourbutt.net
14,302,"*I'd have to ask Mr. Computer."
14,307,"*Screen name 'LonJack', last logged on two months ago.","*Everything's on the internet."
14,308,zoom-and-enhance
14,311,zoom-and-enhance
14,315,"*Oh, it's not the games, it's the systems they're played on. Those things are just really fast computers. Anything with a speed of over 85,000 MTOPS, US Export Administration's worried the wrong people are gonna use the technology to build encryption machines or missile guidance systems."
14,316,no computers!
14,319,"*Check out the links on that site."
14,320,"*We should check his emails - I bet it's all spam."
14,322,"*On the net. Everything's on the net.",getdonner.com,"*This website gets 30,000 hits per day."
15,330,covertcops.com,"*This is the homepage.","*Everybody surfs the web, Arthur. Everybody but you."
15,338,"*Look what I downloaded from the internet.",hiphopnations.com
15,340,"*How do we counteract corrosive cultural forces like the internet...?",zoom and enhance
15,341,"*It's a glitch in the system."
15,343,"*No computers?"
15,346,"*She's huge on the web.","*Most of it's email nowadays. I'll get it printed out for you.","*I think it was an image from her cellphone.",first mention of camera phones,"*DeVries received it as an email attachment..."
16,350,no computers!
16,351,no computers!
16,353,zoom and enhance
16,357,"*He spent hours online."
16,359,"*We analyzed Emily Newton's web history.",enditallnow.com,extremetruth.net,"*He just got a new laptop yesterday."
16,363,first mention of Buddy List
16,366,"*I'm pretty sure I saw him using our courtesy computer around 7:30",Craigslist
16,369,"*You can print them from a website.","*Payroll server logs corroborate the computer search for Dana Baker's info.","*I get 100 emails a day."
16,371,computer trespass
17,372,snakeboy.net,"*squad email","*I was with our girl who runs the fan site and handles the mail.",first instance of prosecutors using a computer in the courtroom,first mention of blogs
17,373,"*You better not be on the computer in there! No internet with the door closed!",b-frendz.com,REwind99,"*She's an internet celebrity now.","*We were in Hartford at Molly's gymnastics meet and one of her friends had a cellphone with the internet on it.","*Computers aren't foolproof","*On the World Wide Web?",WMIRL,first mention of 'social networking',.xxx domain,first mention of WiFi
17,374,no computers!
17,376,scumwatch.com
17,378,first laptop in squad car
17,381,"*They put spyware on my computers."
17,382,DA's office gets a flatscreen monitor
17,383,squad-room gets a new computer,"*I think it's in my Blackberry, let me get it."
17,384,first Gmail user (though logo has been removed)
17,385,"*It turns out Cantwell has five different email addresses.",jlove@toomail.net,steve-o@gbc.bz,bootyboys.bz
17,386,ProTools
17,387,deathjunky.com
17,388,"*This flyer was created on the defendant's computer.",district attorney gets a new monitor
17,391,"*That's ridiculous! - Tell that to my computer."
17,393,"*Now I'm into leisure industry websites.",first instant message
18,394,noexecutions.org,first .org URL,"*Is this your electronic signature?"
18,395,"*This was streamed from our office in Jersey City.","*What about the local precinct, detective, don't they keep a list of contacts for these stores? - They do, in their computers, but the power is out.","*What about what's in your computer, Mike?"
18,396,"*You'd need a telescope to read that.","*That's why he stole it by emailing it.",Jack McCoy gets a flatscreen monitor,"*Anyway, he can't even connect up a computer, you know?"
18,399,"*It's just rumors, of course. - But you put them on your website? - Of course, that's what the internet is for."
18,400,"*We ran Langdon's photo through facial recognition.",first judge with a computer on the bench
18,401,"*I found it on eBay."
18,402,"*The doc's browsing history... Google search for New York City cyber cafes.",Cybernetti Cafe,first time Jack McCoy uses a computer onscreen
18,404,"*Brandon's on his webcam! He's webcasting from his room!","*She told me to get off the computer and do my homework."
18,404,"*I found a Google Map in his trash."
18,408,"*We don't intimidate or murder, no matter what you read on the internet."
18,409,zoom-and-enhance
18,410,"*Missing: one phone, one computer.",toomail.net,VBuren2008,"*She's involved with something on the internet."
18,411,manhattanhears.org,"*I have a friend in the blogosphere."
19,412,"*Check out this email blast he got this morning.",YouLenz.com,"*The comments were posted on the internet anonymously. If you can subpoena the ISP...","*No judge is going to allow something we just found on the internet.","*Teenage girls battering each other on internet videos."
19,416,"*They sent me over the link."
19,417,first thumb-drive
19,418,"*I started a blog, just got a book contract.",zeroenergyfootprint.com,site using Wordpress
19,420,"*Let's see a Street View.","*I keep meticulous records of every IP address that drops a comment on my website."
19,421,"*We monitor his computer use very carefully.",searchling.org,Sophapedia,"*Want to hear about what he wrote about them on their Wikipedia entry?"
19,423,first mention of Nigerian email scams
19,424,"*You that all that with the internet? It says here you're web sleuths."
19,425,unraptured.com,"*And how's a computer supposed to know when the rapture happens?"
19,428,"*There's a computer power brick but no computer.",paparazziberry.com,"*Kernel based, implemented as a rootkit."
19,429,"*One thing for sure. Nowadays everything ends up on the web.",YouLenz,first mention of iPhone
19,431,"*I found a Faceplace page she kept under another name.", first mention of Photoshop (and 'photoshopped' as a verb)
19,432,"*The killer was looking back and forth from the screen to the number that he was carving into the bodies.","*Can I borrow your cellphone? It has the internet, right?"
19,435,"*I see where this is going, Lupes. Next thing you know she'll be friending you on Facebook."
20,438,"*Not exactly on Facebook up here."
20,439,flashposse.net,"*It's not a blog, it's a forum for corrective social action.","*In China they call it a human flesh search engine.","*That place on the World Wide Web? - Actually, they don't call it that anymore.","*A lynch-mob sitting at computers typing things?","*Words on the internet have consequences.","*We spend our days in front of computers.","*You ever read the internet, Mr. Cutter?"
20,445,citysmear.com,"*Yogurt, coffee, ink cartridges, cupcakes.","*I kept some old photos on my backup hard-drive.","*Have you seen what's on the internet?"
20,446,"*Where do the Juggalos hang out? In front of their computers, they're losers.","*The band's website doesn't give a clue what this knife in neck thing is about.","*One hit, it's a link.",therealgore.com,"*He uses proxies to hide his IP address."
20,448,urbanexcitement.com
20,451,"*He was worried about his data being hacked. He told me he got an alert on his laptop. The hotel's WiFi wasn't properly firewalled.",switch from old-school 'beep' when key is pressed to loud keypress sound effect,"*Homework? All she needed was Google!"
20,456,"*What are you guys doing on my computer?","*What were you doing? Exposing yourself to some creep on your webcam. He took a video-capture of it, now it's all over the net.",FighterBoy,"*They're online computer game weapons.",first child using a computer onscreen,"*This boy Moot's been running his blog through a server in Romania.","*Have you checked the internet lately? It's filled with videos of dumb kids blowing up crap with pipe bombs.",TeacherTroubles,Teacherpower,"*I also ask that you authorize me to seize all computers that are found on the school's premises.","*I was conducting a computer reading program and this one student was on a game site."
